word,phonetic,translation,tag,exchange
abeyance,ә'beiәns,"n. 中止, 暂搁, 停止, 归属待定\n[化] 潜态",gre,
abhor,әb'hɒ:,"vt. 憎恶, 痛恨, 回避, 拒绝",toefl gre,p:abhorred/3:abhors/d:abhorred/i:abhorring
abhorrent,әb'hɒrәnt,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的",toefl gre,
abide,ә'baid,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",cet6 ky toefl gre,i:abiding/3:abides/p:abided/d:abided
abiding,ә'baidiŋ,"a. 永久的, 持久的, 不变的",toefl,0:abide/1:i/i:abiding
ability,ә'biliti,"n. 能力, 才干\n[经] 能力, 才能",zk gk cet4 ky toefl ielts,s:abilities
abject,'æbdʒekt,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的\n[法] 卑鄙的, 卑下的, 可怜的",toefl gre,
abjure,әb'dʒuә,"vt. 发誓断绝, 公开放弃\n[法] 誓绝, 弃绝, 公开放弃",gre,d:abjured/i:abjuring/p:abjured/s:abjures/3:abjures
ablaze,ә'bleiz,"a. 着火的, 闪亮的, 激昂的\nadv. 着火, 闪耀",toefl,
able,'eibl,"a. 能干的, 能够的",zk gk,
ablution,ә'blu:ʃәn,"n. 洗澡, 洗礼, 斋戒沐浴\n[化] 洗净; 洗净液",toefl gre,s:ablutions
abnegate,'æbnigeit,"vt. 放弃, 舍弃, 克制(欲望)",gre,d:abnegated/i:abnegating/p:abnegated/3:abnegates
abnegation,.æbni'geiʃәn,"n. 放弃, 舍弃, 克制",gre,
abnormal,æb'nɒ:mәl,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",gk cet4 cet6 ky toefl ielts,s:abnormals
aboard,ә'bɒ:d,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",gk cet4 ky toefl,
abolish,ә'bɒliʃ,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",gk cet6 ky toefl ielts gre,d:abolished/i:abolishing/p:abolished/3:abolishes
abolition,.æbәu'liʃәn,"n. 废除, 废奴运动\n[医] 禁止, 消失",toefl gre,
abolitionist,.æbәu'liʃәnist,"n. 废除主义者, 废奴主义者",toefl,s:abolitionists
abominate,ә'bɒmineit,"vt. 厌恶, 憎恶",gre,p:abominated/3:abominates/i:abominating/d:abominated
aboriginal,.æbә'ridʒәnәl,"a. 原始的, 土著的\nn. 土著居民, 土生生物",ielts gre,s:aboriginals
abort,ә'bɒ:t,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止",toefl ielts,d:aborted/p:aborted/i:aborting/3:aborts
abortion,ә'bɒ:ʃәn,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",gk ielts,s:abortions
abortive,ә'bɒ:tiv,"a. 流产的, 堕胎的, 失败的\n[医] 流产的; 顿挫的",toefl gre,
abound,ә'baund,"vi. 大量存在, 富于, 充满",ky toefl ielts gre,3:abounds/p:abounded/i:abounding/d:abounded
about,ә'baut,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",zk gk,
above,ә'bʌv,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",zk gk,
aboveboard,ә.bʌv'bɒ:d,"adv. 光明正大地, 率直地\na. 光明正大的, 率直的",gre,
abrade,ә'breid,"vt. 擦伤, 磨损, 磨\n[医] 擦除, 擦破; 磨损, 磨除",gre,d:abraded/p:abraded/i:abrading/3:abrades
abrasion,ә'breiʒәn,"n. 磨擦, 磨损, 磨损处\n[化] 磨耗; 磨蚀",toefl ielts gre,s:abrasions
abrasive,ә'breisiv,n. 研磨料\na. 有研磨作用的,toefl gre,s:abrasives
abreast,ә'brest,"adv. 并肩地, 并列地",gre,
abridge,ә'bridʒ,"vt. 缩短, 删节, 减少, 剥夺\n[法] 剥夺; 节略",toefl ielts gre,d:abridged/i:abridging/p:abridged/3:abridges
abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",zk gk toefl,
abrogate,'æbrәgeit,"vt. 废除, 取消\n[经] 取消, 废除, 不生效(的法令)",gre,d:abrogated/i:abrogating/p:abrogated/3:abrogates
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",gk cet6 ky toefl ielts gre,
abscission,æb'siʒәn,"n. 切断, 除去\n[医] 切除",gre,
abscond,әb'skɒnd,"vi. 潜逃, 逃匿\n[经] (为躲避罪责,债务等)潜逃",gre,p:absconded/d:absconded/i:absconding/3:absconds/s:absconds
absence,'æbsәns,"n. 缺席, 缺乏, 没有\n[医] 失神",gk cet4 cet6 ky toefl,s:absences
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",zk gk cet4 cet6 ky toefl,p:absented/i:absenting/d:absented/3:absents
absentee,.æbsәn'ti:,"n. 缺席者, 不在者\n[经] 缺勤者, 缺席者, 未到工者",toefl,s:absentees
absenteeism,æbsәn'ti:iz(ә)m,"n. 经常无故缺席, 旷职, 旷工, 旷课\n[经] 有计划的怠工, 旷工",toefl gre,
absolute,'æbsәlu:t,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",gk cet4 cet6 ky toefl gre,s:absolutes
absolutely,'æbsәlu:tli,"adv. 完全地, 绝对地, 确确实实地",cet4 toefl,
absolve,әb'zɒlv,"vt. 宣告...无罪, 赦免, 免除\n[经] 免偿(债务), 解除",toefl gre,d:absolved/p:absolved/i:absolving/3:absolves
absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",gk cet4 cet6 ky toefl ielts gre,d:absorbed/p:absorbed/3:absorbs/i:absorbing
absorbing,әb'sɒ:biŋ,"a. 吸引人的, 非常有趣的\n[机] 吸收的",toefl,0:absorb/1:i/i:absorbing
absorption,әb'sɒ:pʃәn,"n. 吸收, 专心, 全神贯注\n[化] 吸收; 吸收作用",cet6 toefl,s:absorptions
abstain,әb'stein,"vi. 自制, 戒绝, 弃权, 回避",toefl gre,p:abstained/i:abstaining/d:abstained/3:abstains
abstemious,æb'sti:mjәs,"a. 有节制的, 节约的",gre,
abstention,әb'stenʃәn,"n. 戒绝, 回避, 弃权",gre,s:abstentions
abstentious,æb'stenʃəs,a. 有节制的,gre,
abstinence,'æbstinәns,"n. 节制, 禁欲, 戒酒\n[医] 节制, 禁戒(如禁酒,节欲)",toefl,s:abstinences
abstinent,'æbstinәnt,"a. 有节制的, 禁欲的\nn. 禁欲者",gre,
abstract,'æbstrækt,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",gk cet4 cet6 ky toefl ielts gre,s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted
abstraction,æb'strækʃәn,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品\n[化] 提取; 抽取; 夺取; 夺取反应; 除去",toefl,s:abstractions
abstruse,æb'stru:s,"a. 难解的, 深奥的",toefl gre,r:abstruser
absurd,әb'sә:d,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",gk cet6 ky toefl ielts gre,s:absurds
abundance,ә'bʌndәns,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",cet6 ky toefl ielts gre,s:abundances
abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的",gk cet4 ky toefl gre,
abundantly,ә'bʌndәntli,"adv. 大量地, 丰富地",toefl,
abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",gk cet4 cet6 ky toefl ielts gre,d:abused/s:abuses/i:abusing/3:abuses/p:abused
abusive,ә'bju:siv,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的",gre,
abut,ә'bʌt,"v. 邻接, 毗邻",toefl gre,i:abutting/3:abuts/p:abutted/d:abutted
abysmal,ә'bizmәl,"a. 深不可测的, 无底的",gre,
abyss,ә'bis,"n. 深渊, 深邃, 地狱",toefl,s:abysses
academic,.ækә'demik,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",gk cet4 cet6 ky toefl ielts gre,s:academics
academician,ә.kædә'miʃәn,"n. 学会会员, 院士, 学究, 大学生, 学者",toefl gre,s:academicians
academy,ә'kædәmi,"n. 学院, 院校, 学会",gk cet4 cet6 ky toefl,s:academies
acarpous,ei'kɑ:pәs,"a. [植]不结果的,无果实的",gre,
accede,æk'si:d,"vi. 同意, 正式加入, 就任, 继任",gre,p:acceded/d:acceded/i:acceding/3:accedes
accelerate,әk'selәreit,"v. 加速, 促进",gk cet4 cet6 ky toefl ielts gre,p:accelerated/d:accelerated/i:accelerating/3:accelerates
accelerated,әk'selәreitid,a. 加快的\n[医] 加速的,toefl,0:accelerate/1:pd/p:accelerated/d:accelerated
accelerating,æk'selәreitiŋ,[计] 加速,toefl,0:accelerate/1:i/i:accelerating
acceleration,әk.selә'reiʃәn,"n. 加速, 促进, 加速度\n[化] 加速度",cet4 toefl,s:accelerations
accent,'æksәnt,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",zk gk cet4 ky,s:accents/p:accented/i:accenting/d:accented/3:accents
accentuate,æk'sentjueit,"vt. 以重音念, 强调, 重读",toefl gre,d:accentuated/p:accentuated/3:accentuates/i:accentuating
accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",zk gk cet4 ky,d:accepted/p:accepted/i:accepting/3:accepts
acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的",cet4,
acceptance,әk'septәns,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",cet4 cet6 ky,s:acceptances
access,'ækses,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",gk cet4 cet6 ky toefl ielts gre,d:accessed/i:accessing/3:accesses/s:accesses/p:accessed
accessary,әk'sesәri,"a. 附属的, 附带的, 从犯的\nn. 附件, 同谋, 从犯",cet6,
accessibility,әk.sesә'biliti,"n. 易接近, 可进入\n[化] 可及性; 可达性; 可接近性; 吸湿性",toefl,s:accessibilities
accessible,әk'sesәbl,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",gk cet6 toefl ielts gre,
accessory,әk'sesәri,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",cet4 cet6 ky toefl ielts gre,s:accessories
accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",zk gk cet4 ky toefl,s:accidents
accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",cet4 cet6 ky toefl,s:accidentals
accidentally,.æksi'dentli,"adv. 偶然地, 意外地",toefl,
accidents,,n. 意外事故；事故（accident的复数）,ielts,0:accident/1:s
acclaim,ә'kleim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",ky toefl ielts gre,d:acclaimed/p:acclaimed/i:acclaiming/s:acclaims/3:acclaims
acclaimed,ə'kleɪmd,v. 欢呼（acclaim的过去式及过去分词）\na. 受到赞扬的,toefl,0:acclaim/1:dp/d:acclaimed/p:acclaimed
acclimate,ә'klaimit,"vt. 使适应, 使服水土\nvi. 服水土, 适应新环境",gre,p:acclimated/i:acclimating/3:acclimates/d:acclimated
accolade,.ækәu'leid,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号",gre,s:accolades
accommodate,ә'kɒmәdeit,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",cet4 cet6 ky toefl ielts gre,d:accommodated/i:accommodating/3:accommodates/p:accommodated
accommodating,ә'kɒmәdeitiŋ,"a. 与人方便的, 肯通融的",toefl gre,0:accommodate/1:i/i:accommodating
accommodation,ә.kɒmә'deiʃәn,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",gk cet4 cet6 ky ielts,s:accommodations
accommodations,,"n. 膳宿；住房, 住宿；居住设施（accommodation的复数）",ielts,0:accommodation/1:s
accompaniment,ә'kʌmpәnimәnt,"n. 伴随物, 附加物, 伴奏",toefl,s:accompaniments
accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",gk cet4 cet6 ky toefl ielts gre,d:accompanied/p:accompanied/i:accompanying/3:accompanies
accompanying,,"a. 随同的, 附见的",toefl,0:accompany/1:i/i:accompanying
accomplice,ә'kʌmplis,"n. 共犯, 同谋\n[医] 协同菌",toefl gre,s:accomplices
accomplish,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美",gk cet4 ky toefl ielts gre,d:accomplished/p:accomplished/i:accomplishing/3:accomplishes
accomplished,ә'kʌmpliʃt,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的",toefl gre,0:accomplish/1:dp/d:accomplished/p:accomplished
accomplishment,ә'kʌmpliʃmәnt,"n. 成就, 完成",cet6 toefl,s:accomplishments
accord,ә'kɒ:d,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",cet4 cet6 ky toefl ielts gre,i:according/d:accorded/3:accords/s:accords/p:accorded
accordance,ә'kɒ:dәns,"n. 一致, 和谐",cet4 cet6 ky,
accordingly,ә'kɒ:diŋli,"adv. 相应地, 因此, 于是",cet4 cet6 ky,
accordion,ә'kɒ:djәn,n. 手风琴\na. 可折叠的,toefl,s:accordions
accost,ә'kɒst,"vt. 招呼, 搭讪, 勾引\n[法] 勾引, 引诱",toefl gre,d:accosted/p:accosted/i:accosting/3:accosts
account,ә'kaunt,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",gk cet4 ky toefl ielts,s:accounts/d:accounted/i:accounting/3:accounts/p:accounted
account for,,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占,toefl ielts,
accountability,ә.kauntә'biliti,"n. 负有责任, 可说明性\n[化] 衡算计量",gre,s:accountabilities
accountant,ә'kauntәnt,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",gk ky toefl ielts,s:accountants
accountants,,会计人员,ielts,0:accountant/1:s
accounting,ә'kauntiŋ,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐",toefl ielts,0:account/1:i/i:accounting
accredit,ә'kredit,"vt. 信托, 确认, 归结于, 委派\n[经] 发行信用证, 信托, 委托",toefl,d:accredited/i:accrediting/s:accredits/3:accredits/p:accredited
accrete,æ'kri:t,"vi. 连生, 合生, 附依\nvt. 使依附, 使连接\na. 合生的",gre,d:accreted/p:accreted/3:accretes/i:accreting
accretion,æ'kri:ʃәn,"n. 自然增大, 添加, 添加物, 连生\n[化] 停滞堆积",gre,s:accretions
accrue,ә'kru:,"vi. 自然增加, 产生\n[经] 应计, 产生, 出现",gre,i:accruing/d:accrued/3:accrues/p:accrued
accumulate,ә'kju:mjuleit,"v. 积聚, 堆积",gk cet4 cet6 ky toefl ielts gre,d:accumulated/i:accumulating/3:accumulates/p:accumulated
accumulation,ә.kju:mju'leiʃәn,"n. 积聚, 累积, 积聚物\n[医] 蓄积, 累积",toefl,s:accumulations
accuracy,'ækjurәsi,"n. 精确, 正确\n[计] 准确度",gk cet4 cet6 ky toefl ielts gre,s:accuracies
accurate,'ækjurәt,"a. 正确的, 精确的\n[经] 准确的, 精确的",cet4 cet6 ky toefl ielts gre,
accusation,ækju:'zeiʃәn,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发",toefl,s:accusations
accuse,ә'kju:z,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",gk cet4 cet6 ky toefl ielts gre,d:accused/p:accused/i:accusing/3:accuses
accuser,ә'kju:zә,"n. 控诉者, 指责者\n[法] 原告, 指控人, 控告者",ielts,s:accusers
accustom,ә'kʌstәm,vt. 使习惯于,cet4 cet6 ky toefl,d:accustomed/p:accustomed/3:accustoms/i:accustoming
accustomed,ә'kʌstәmd,"a. 惯常的, 习惯了的",gk cet4 cet6 ky toefl,d:accustomed/0:accustomed/1:dp/p:accustomed
acerbic,ә'sә:bik,"a. 酸的, 尖刻的",gre,
acerbity,ә'sә:biti,"n. 涩, 酸, 尖刻\n[化] 涩度",gre,s:acerbities
ache,eik,"n. 疼痛\nvi. 痛, 哀怜, 渴望",zk gk cet4 ky,p:ached/i:aching/d:ached/3:aches
achieve,ә'tʃi:v,"vt. 完成, 达到\nvi. 如愿以偿",zk gk cet4 cet6 ky toefl ielts,d:achieved/i:achieving/p:achieved/3:achieves
achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功业",gk cet4 cet6 toefl ielts,s:achievements
achromatic,ækrәu'mætik,"a. 无色的, 不分光的, 消色差的, 非染色质的\n[化] 消色差的",gre,
acid,'æsid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",gk cet4 cet6 ky toefl ielts,s:acids
acidic,ә'sidik,"a. 成酸的, 尖刻的, 酸性的\n[机] 酸性",toefl,
acidity,ә'siditi,n. 酸性\n[化] 酸度; 酸性; 酸性反应,toefl,s:acidities
acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",gk cet4 cet6 ky toefl ielts gre,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging
acme,'ækmi,"n. 顶点, 极度, 最高点\n[医] 极期",toefl gre,s:acmes
acolyte,'ækәulait,"n. 侍僧, 助手",gre,s:acolytes
acorn,'eikɒ:n,"n. 橡树果实\n[机] 浆栎, 浆栎果",gre,s:acorns
acoustic,ә'ku:stik,"a. 听觉的, 声学的, 音响的\n[医] 听的; 声学的",gre,s:acoustics
acoustical,ә'ku:stikәl,"a. 听觉的, 声学的",toefl,
acquaint,ә'kweint,"vt. 使认识, 介绍",cet6 ky toefl ielts gre,d:acquainted/i:acquainting/p:acquainted/3:acquaints
acquaintance,ә'kweintәns,"n. 认识, 相识者",gk cet4 cet6 ky toefl gre,s:acquaintances
acquainted,ә'kweintid,a. 知晓的；有知识的；熟识的,toefl gre,0:acquaint/1:dp
acquiesce,.ækwi'es,"vi. 默许, 默然同意",gre,d:acquiesced/p:acquiesced/i:acquiescing/3:acquiesces
acquire,ә'kwaiә,"vt. 获得, 学到\n[电] 目标锁定",gk cet4 cet6 ky toefl ielts,d:acquired/p:acquired/i:acquiring/3:acquires
acquired,ә'kwaiәd,"a. 获得的, 后天的\n[医] 获得的, 后天的",gre,0:acquire/1:dp/p:acquired/d:acquired
acquisition,.ækwi'ziʃәn,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",gk cet4 cet6 ky toefl ielts,s:acquisitions
acquisitive,ә'kwizitiv,"a. 渴望获得的, 贪婪的\n[法] 取得的, 获得的, 贪得无厌的",cet6 toefl gre,
acquit,ә'kwit,"vt. 无罪释放, 表现, 使履行\n[法] 开释, 释放, 免",toefl gre,d:acquitted/p:acquitted/i:acquitting/s:acquits/3:acquits
acquittal,ә'kwitәl,"n. 履行, 无罪开释\n[经] (债务的)清偿",gre,s:acquittals
acre,'eikә,n. 英亩,gk cet4 ky toefl,s:acres
acrid,'ækrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的\n[医] 辛辣的",toefl gre,
acrimonious,ækri'mәunjәs,"a. 尖刻的, 讥讽的, 激烈的",toefl gre,
acrimony,'ækrimәni,"n. 严厉, 尖刻\n[医] 辛辣",toefl gre,
acrobat,'ækrәbæt,"n. 表演特技者, 杂技演员",ky gre,s:acrobats/3:acrobats
acronym,'ækrәunim,"n. 首字母缩拼词, 首字母组合词\n[计] 字首组合词",toefl gre,s:acronyms/p:acronymed
acrophobia,.ækrәu'fәubiә,n. 恐高症\n[医] 高处恐怖,gre,
across,ә'krɒs,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",zk gk,
act,ækt,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",zk gk cet4 ky,i:acting/s:acts/p:acted/d:acted/3:acts
acting,'æktiŋ,"n. 演戏, 装腔作势\na. 代理的, 演出用的, 起作用的",toefl,0:act/1:i/i:acting/s:actings
action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",zk gk cet4 cet6 ky toefl ielts,s:actions/i:actioning/p:actioned/3:actions
actions,,n. 动作；行动（action的复数）,ielts,0:action/1:s
activate,'æktiveit,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",ky toefl ielts,d:activated/i:activating/3:activates/p:activated
active,'æktiv,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",zk gk cet4 ky toefl,s:actives
actively,'æktivli,"adv. 活跃地, 积极地",toefl,
activities,,n. （activity复数形式）活动；活动区；活动性,ielts,0:activity/1:s
activity,æk'tiviti,"n. 活动, 行动, 活跃, 活力\n[计] 活动",zk gk cet4 ky ielts,s:activities
actor,'æktә,"n. 男演员, 行动者\n[医] 作用物, 反应物",gk cet4 ky ielts,s:actors
actress,'æktris,n. 女演员,gk cet4 ky,s:actresses
actual,'æktʃuәl,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",gk cet4 ky toefl,s:actuals
actually,'æktʃuәli,"adv. 事实上, 竟然, 如今, 现在",cet4 cet6 toefl,
actuarial,.æktju'єәriәl,"a. 保险计算员的, 保险计算的\n[经] 保险公司计算员的, 保险统计",gre,
actuate,'æktʃueit,"vt. 开动, 驱使, 激励",toefl gre,d:actuated/3:actuates/i:actuating/p:actuated
acuity,ә'kju:әti,"n. 尖锐, (疾病的)剧烈, 敏锐\n[化] 锐度; 分辨能力",gre,s:acuities
acumen,ә'kju:men,"n. 敏锐, 聪明",toefl gre,
acupuncture,'ækju.pʌŋktʃә,"n. 针刺, 针刺疗法\nvt. 施以针灸",toefl,
acute,ә'kju:t,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",gk cet4 cet6 ky toefl ielts gre,s:acutes/t:acutest
ad,æd,"n. 广告\n[计] 地址, 模拟-数字",cet4,s:ads
adage,'ædidʒ,"n. 格言, 谚语",toefl gre,s:adages
adamant,'ædәmәnt,"n. 坚硬的东西\na. 非常坚硬的, 坚强的, 固执的",toefl gre,
adapt,ә'dæpt,"vt. 使适应, 改编\nvi. 适应",gk cet4 cet6 ky toefl ielts gre,d:adapted/i:adapting/p:adapted/3:adapts
adaptable,ә'dæptәbl,"a. 能适应的, 适合的, 可修改的",toefl gre,
adaptation,.ædæp'teiʃәn,"n. 适应, 改编, 改编本\n[医] 适应[作用]",gk toefl,s:adaptations
adaptive,ә'dæptiv,"a. 适应的, 能适应的",toefl,
add,æd,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",zk gk cet4 ky,p:added/d:added/i:adding/3:adds
addendum,ә'dendәm,"n. 补遗, 附加物\n[化] 附加物; 齿顶",gre,s:addendums
addict,ә'dikt,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",cet6 ky toefl ielts gre,d:addicted/s:addicts/i:addicting/p:addicted/3:addicts
addicted,ә'diktid,"a. 沉溺于...的, 无法摆脱(某种嗜好)的\n[法] 嗜, 好, 惯于",gk toefl,1:dp/0:addict/d:addicted
addictive,ә'diktiv,a. 上瘾的,toefl,
addition,ә'diʃәn,"n. 加法, 增加的人(或物)\n[计] 加法",gk cet4 cet6 ky ielts gre,s:additions
additional,ә'diʃәnәl,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",cet4 cet6 ky toefl ielts,
additive,'æditiv,"a. 添加的, 附加的, 加法的, 累积的\nn. 添加物",toefl gre,s:additives
addle,'ædl,"vt. 使昏乱, 使腐坏\nvi. 变质\na. 昏乱的, 腐坏的",toefl gre,d:addled/3:addles/p:addled/i:addling
address,ә'dres,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",zk gk cet4 cet6 ky toefl ielts gre,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses
adduce,ә'dju:s,"vt. 引证, 举出\n[法] 援引, 引证, 提出",gre,d:adduced/3:adduces/p:adduced/i:adducing
adept,ә'dept,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行",toefl ielts gre,s:adepts
adequate,'ædikwәt,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",gk cet4 cet6 ky toefl ielts gre,
adhere,әd'hiә,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",cet4 cet6 ky toefl ielts gre,d:adhered/i:adhering/p:adhered/3:adheres
adherence,әd'hiәrәns,"n. 依附, 固执, 坚持\n[化] 粘合",toefl,
adherent,әd'hiәrәnt,"n. 信徒, 追随者\na. 附着的, 发生联系的",gre,s:adherents
